기간	지역	발생건수	자동차 1만대당 발생건수	사망자수	인구 10만명당 사망자수	부상자수	인구 10만명당 부상자수
2013	영등포구	2,157	139.5	29	6.9	3,128	742
2013	동작구	1,233	105.7	11	2.6	1,848	438.4
2013	관악구	1,753	122.9	20	3.7	2,482	463.8
2013	서초구	2,055	110	19	4.3	3,304	739.9
2013	강남구	3,610	143.2	31	5.4	5,326	935.8
2013	송파구	2,473	106.8	21	3.1	3,556	526.8
2013	강동구	1,356	86.3	12	2.5	1,942	398
2014	합계	40,792	117.5	400	3.9	57,345	553
2014	종로구	1,314	205.2	11	6.7	1,790	1,082.6
2014	중구	1,305	186	7	5.1	1,785	1,310.3
2014	용산구	1,350	146.5	8	3.2	1,971	788.7
2014	성동구	1,189	106.4	11	3.6	1,712	563.4
2014	광진구	1,480	130.3	12	3.2	2,081	551.4
2014	동대문구	1,848	154.3	27	7.2	2,407	639.6
2014	중랑구	1,622	122.2	11	2.6	2,180	514.9
2014	성북구	1,664	116.7	17	3.6	2,227	467.9
2014	강북구	1,313	136	12	3.5	1,773	523.9
2014	도봉구	919	83.9	14	3.9	1,205	338.8
2014	노원구	1,516	90.1	17	2.9	2,038	347.7
2014	은평구	1,325	91	11	2.2	1,889	375.4
2014	서대문구	1,122	118.8	16	5	1,590	495.5
2014	마포구	1,759	132.4	20	5.1	2,633	665.2
2014	양천구	1,466	88.7	13	2.6	2,000	407.6
2014	강서구	1,806	88.6	32	5.4	2,614	441.8
2014	구로구	1,566	102.2	19	4.2	2,205	482.4
2014	금천구	1,029	111	13	5	1,535	594.9
2014	영등포구	2,193	139.6	26	6.2	3,128	742.2
2014	동작구	1,399	119.5	13	3.1	1,901	453.4
2014	관악구	1,716	119.5	22	4.1	2,317	435.6
2014	서초구	2,217	114.6	13	2.9	3,446	758.5
2014	강남구	3,624	140.3	17	2.9	5,269	903.1
2014	송파구	2,608	111.2	24	3.6	3,635	541.1
2014	강동구	1,442	91.6	14	2.9	2,014	418.4
2015	합계	41,665	118.7	376	3.7	58,656	569.6
2015	종로구	1,414	222.9	8	4.9	1,933	1,179.9
2015	중구	1,338	197.6	8	6	1,803	1,342.2
2015	용산구	1,516	163.6	18	7.3	2,110	851.1
2015	성동구	1,227	105.8	8	2.6	1,725	565.5
2015	광진구	1,235	107.5	17	4.5	1,744	464.8
2015	동대문구	2,085	172.5	16	4.3	2,731	730.6
2015	중랑구	1,722	127.9	16	3.8	2,269	542
2015	성북구	1,680	117.5	19	4.1	2,286	486.8
2015	강북구	1,265	129.5	16	4.8	1,684	503.6
2015	도봉구	914	82.6	8	2.3	1,255	355.3
2015	노원구	1,459	85.9	15	2.6	2,098	362.8
2015	은평구	1,203	81.4	16	3.2	1,673	332.9
2015	서대문구	1,071	110.2	13	4	1,492	461.8
2015	마포구	1,802	133.8	17	4.3	2,730	685.3
2015	양천구	1,596	95.3	14	2.9	2,231	456.2
2015	강서구	1,932	92.2	12	2	2,762	463.7
2015	구로구	1,508	97.4	19	4.2	2,127	467.9
2015	금천구	914	96.8	10	3.9	1,374	536.4
2015	영등포구	2,462	151.2	28	6.7	3,564	853
2015	동작구	1,386	118.1	7	1.7	1,994	483.1
2015	관악구	1,625	111.7	12	2.3	2,135	403.6
2015	서초구	2,160	111.8	20	4.4	3,358	744.1
2015	강남구	3,970	151.8	20	3.4	5,686	977.4
2015	송파구	2,687	113.2	16	2.4	3,763	563.8
2015	강동구	1,494	96.6	23	5	2,129	459.5
2016	합계	40,039	113.3	348	3.4	55,669	545.6
2016	종로구	1,299	206.5	9	5.6	1,748	1,079.5
2016	중구	1,288	193.8	17	12.7	1,716	1,276.7
2016	용산구	1,428	155.1	12	4.9	2,069	844.1
2016	성동구	1,099	91.6	15	4.9	1,541	501.7
2016	광진구	1,045	90.4	9	2.4	1,466	394
2016	동대문구	2,051	168.9	14	3.8	2,629	709.9
2016	중랑구	1,535	112.5	9	2.2	2,030	488.4
2016	성북구	1,618	113.4	13	2.8	2,106	456.2
2016	강북구	1,227	124.2	15	4.5	1,678	507.4
2016	도봉구	949	84.9	11	3.1	1,306	372.9
2016	노원구	1,535	89.8	13	2.3	2,216	388
2016	은평구	1,121	75.3	14	2.8	1,518	306.1
2016	서대문구	1,135	114.3	14	4.3	1,566	480.6
2016	마포구	1,768	131.5	15	3.8	2,605	666.4
2016	양천구	1,493	89	12	2.5	2,056	426.7
2016	강서구	1,691	78.7	13	2.2	2,230	370.4
2016	구로구	1,511	96.3	9	2	2,139	475.8
2016	금천구	799	82.8	15	5.9	1,133	444.9
2016	영등포구	2,403	147.5	22	5.4	3,473	853.8
2016	동작구	1,471	123.3	19	4.6	2,028	490.8
2016	관악구	1,408	95.9	19	3.6	1,895	360.5
2016	서초구	2,313	119	16	3.5	3,473	769.3
2016	강남구	3,828	147.3	12	2.1	5,445	951.7
2016	송파구	2,598	107.7	14	2.1	3,646	548.3
2016	강동구	1,426	93.3	17	3.8	1,957	436.4
2017	합계	38,625	108.3	343	3.4	53,810	531.5
2017	종로구	1,190	185.3	13	7.9	1,689	1,028.3
2017	중구	1,252	188.7	4	3	1,684	1,251.2
2017	용산구	1,337	142.9	12	4.9	1,949	797.3
2017	성동구	1,076	86.9	15	4.8	1,501	480
2017	광진구	1,064	90.9	16	4.3	1,441	387.1
2017	동대문구	1,718	141.2	25	6.8	2,139	584.4
2017	중랑구	1,639	118.6	6	1.5	2,228	539.8
2017	성북구	1,557	108.5	17	3.7	2,068	454.1
2017	강북구	1,202	120.5	9	2.7	1,567	477.7
2017	도봉구	944	84.3	9	2.6	1,239	357.9
2017	노원구	1,499	88.3	11	2	2,055	368.2
2017	은평구	1,067	71.2	12	2.4	1,489	303.1
2017	서대문구	1,032	102.2	8	2.5	1,430	440
2017	마포구	1,859	138.9	8	2.1	2,793	724
2017	양천구	1,343	79.3	13	2.7	1,789	376.6
2017	강서구	1,584	71.8	12	2	2,155	354.3
2017	구로구	1,433	89.4	12	2.7	1,960	443.9
2017	금천구	824	84	6	2.4	1,228	484.4
2017	영등포구	2,386	146.7	22	5.5	3,519	875.3
2017	동작구	1,409	117.5	20	4.9	2,043	500.1
2017	관악구	1,251	85.3	11	2.1	1,659	318.5
2017	서초구	2,361	120.7	21	4.7	3,548	796.6
2017	강남구	3,469	136	19	3.4	4,959	883.9
2017	송파구	2,758	109.9	23	3.4	3,805	566.9
2017	강동구	1,371	89.6	19	4.3	1,873	425.3
2018	합계	38,795	108.6	304	3	53,751	534.9
2018	종로구	1,134	177.5	6	3.7	1,546	948.3
2018	중구	1,128	169.8	9	6.6	1,506	1,110.3
2018	용산구	1,330	142.2	14	5.7	1,852	755.6
2018	성동구	1,143	90.2	9	2.8	1,561	493.3
2018	광진구	1,108	93.2	10	2.7	1,474	397.2
2018	동대문구	1,699	139.2	14	3.8	2,160	592.9
2018	중랑구	1,565	113.2	10	2.5	2,135	523.1
2018	성북구	1,427	99.9	14	3.1	1,980	442.3
2018	강북구	1,216	122.6	13	4	1,633	505.7
2018	도봉구	824	73.5	6	1.8	1,061	310.6
2018	노원구	1,569	93.1	14	2.6	2,227	406.3
2018	은평구	1,134	75.3	12	2.5	1,580	324
2018	서대문구	1,033	101.6	5	1.5	1,403	434.3
2018	마포구	1,671	123.7	11	2.8	2,429	628.7
2018	양천구	1,428	84.4	11	2.3	1,939	414.2
2018	강서구	1,502	67.4	11	1.8	2,208	365.8
2018	구로구	1,532	95.6	13	3	2,129	485.5
2018	금천구	932	94.5	6	2.4	1,326	522
2018	영등포구	2,493	155.5	22	5.5	3,532	875.1
2018	동작구	1,412	117.2	9	2.2	1,892	462.2
2018	관악구	1,300	89.1	8	1.5	1,717	330.2
2018	서초구	2,478	126.9	18	4.1	3,640	830.7
2018	강남구	3,459	137.2	20	3.7	4,967	907.3
2018	송파구	2,860	111.9	27	4	3,932	583.8
2018	강동구	1,418	93.5	12	2.8	1,922	445
2019	합계	39,258	109.9	250	2.5	53,904	538.4
2019	종로구	1,133	178.9	6	3.7	1,559	963.1
2019	중구	1,184	179.2	5	3.7	1,615	1,183.3
2019	용산구	1,187	128.1	10	4.1	1,614	658.3
2019	성동구	1,091	86.3	13	4.2	1,439	465.7
2019	광진구	973	82.8	3	0.8	1,316	358.6
2019	동대문구	1,565	128.7	15	4.1	1,988	547.6
2019	중랑구	1,620	118.2	12	3	2,122	527.8
2019	성북구	1,509	103.5	8	1.8	2,007	441.3
2019	강북구	1,277	130	7	2.2	1,706	537
2019	도봉구	852	76.6	4	1.2	1,163	346.5
2019	노원구	1,703	102	8	1.5	2,302	428.4
2019	은평구	1,119	74.3	7	1.4	1,464	302.1
2019	서대문구	1,113	109.2	14	4.3	1,609	497.9
2019	마포구	1,494	110.6	7	1.8	2,123	550.1
2019	양천구	1,506	89.4	11	2.4	2,085	451
2019	강서구	1,829	81.9	20	3.3	2,491	416.4
2019	구로구	1,529	95.5	13	3	2,096	477
2019	금천구	920	92.8	9	3.6	1,353	537.3
2019	영등포구	2,439	154.1	11	2.7	3,451	860.6
2019	동작구	1,406	116.6	5	1.2	2,021	494.2
2019	관악구	1,363	94.3	10	1.9	1,755	339.2
2019	서초구	2,418	124.9	14	3.2	3,530	811.3
2019	강남구	3,722	147.4	14	2.5	5,182	941.8
2019	송파구	2,892	110.4	13	1.9	4,003	586.3
2019	강동구	1,414	90.5	11	2.5	1,910	433.7
