기간	행정자치구	횡단보도수	횡단보도수	횡단보도수	도로연장	도로연장(km당)횡단보도수
2016	은평구	1,303	436	867	352	3.7
2016	서대문구	1,057	266	791	311	3.4
2016	마포구	1,686	518	1,168	420	4.01
2016	양천구	1,471	506	965	403	3.65
2016	강서구	1,606	551	1,055	379	4.24
2016	구로구	1,527	450	1,077	294	5.2
2016	금천구	778	273	505	182	4.27
2016	영등포구	1,905	649	1,256	389	4.9
2016	동작구	989	234	755	248	3.99
2016	관악구	835	324	511	322	2.59
2016	서초구	1,869	463	1,406	379	4.93
2016	강남구	2,571	582	1,989	433	5.93
2016	송파구	1,798	606	1,192	361	4.98
2016	강동구	1,465	433	1,032	282	5.2
2017	계	34,660	10,194	24,466	8,243	4.2
2017	종로구	993	278	715	275	3.61
2017	중구	1,323	288	1,035	114	11.58
2017	용산구	1,007	290	717	281	3.59
2017	성동구	1,136	319	817	408	2.78
2017	광진구	963	258	705	324	2.97
2017	동대문구	1,264	398	866	327	3.86
2017	중랑구	1,317	396	921	331	3.97
2017	성북구	1,708	409	1,299	627	2.72
2017	강북구	1,097	319	778	227	4.84
2017	도봉구	942	321	621	257	3.66
2017	노원구	1,361	561	800	292	4.66
2017	은평구	1,334	438	896	352	3.79
2017	서대문구	1,086	272	814	311	3.5
2017	마포구	1,786	524	1,262	420	4.25
2017	양천구	1,474	504	970	403	3.65
2017	강서구	1,814	567	1,247	382	4.75
2017	구로구	1,575	432	1,143	294	5.36
2017	금천구	824	297	527	185	4.45
2017	영등포구	1,919	652	1,267	389	4.93
2017	동작구	1,037	229	808	248	4.18
2017	관악구	894	313	581	322	2.77
2017	서초구	1,887	484	1,403	390	4.84
2017	강남구	2,606	594	2,012	434	6
2017	송파구	1,829	613	1,216	363	5.04
2017	강동구	1,484	438	1,046	286	5.2
